topic_num,top_words,sample_comments,bertopic_dominant_topic,size
15,"trade, new, would, international, labeling, costs, technical","identity and quality of alcohol beverages if alcohol beverage containers do not include Alcohol Facts labeling? How do those benefits compare to the cost s and regulatory burdens associated with such revisions? The current information on alcoholic beverage labeling is sufficient. The inclusion of the ""Alcohol Facts"" panel would not provide significant ben efits to the consumer and would generate u ||| not include Alcohol Facts labeling? How do those benefits compare to the costs and regulatory burdens associated with such revisions? The current information on alcoholic beverage labeling is sufficient. The inclusion of the ""Alcohol Facts"" panel would not provide any benefits to consumer s and would generate unnecessary costs and regulatory burdens. 7. How, if at all, would the new mandatory labe ||| not include Alcohol Facts labeling? How do those benefits compare to the costs and regulatory burdens associated with such revisions? The current information on alcoholic beverage labeling is sufficient. The inclusion of the ""Alcohol Facts"" panel would not provide any benefits to consumer s and would generate unnecessary costs and regulatory burdens. 7. How, if at all, would the new mandatory labe",15.0,9
21,"clutter, becomes, qr, code, this, labels, up","This label requirement will not help the consumer to make informed decisions. It will just clutter the label and confuse the consumer. <br/><br/>If this becomes a requirement, please allow a QR code to be printed in the label and lined to the website ||| There is no need to clutter up the labels with excessive information. my primary suggestion is if this info becomes required, that the TTB allow it to be provided with a QR code instead of having to clutter up labels with all that additional (&amp; ugly!) text. ||| I find this unnecessary but if it becomes mandatory do not clutter up more product labels (consumers will NOT read more clutter) use a QR code.",21.0,8
14,"health, and, to, public, transparency, this, is","is provided for food, soda, or even bottled water. We deserve to know what’s in the products we consume. 3. Safety and Allergen Disclosure – Hidden ingredients and allergens can pose real dangers. Requiring full disclosure helps protect individuals with dietary restrictions, allergies, or intolerances. 4. Public Demand – The majority of Americans support this change. Transparency builds trust, sup ||| Public Comment on The Alcohol and Tobacco Tax and Trade Bureau (TTB) Proposed “Alcohol Facts” Labeling Rule To: Alcohol and Tobacco Tax and Trade Bureau (TTB) Re: Docket No. TTB-2025-0002 – Proposed Rule on Alcohol Facts Labeling I am writing to express my support for the Alcohol and Tobacco Tax and Trade Bureau’s proposed rule to mandate an “Alcohol Facts” label on alcoholic beverage products. Th ||| April 4, 2025 ATTN: Alcohol and Tobacco Tax and Trade Bureau SENT VIA ONLINE PUBLIC COMMENT SUBJECT: Support for Mandatory Nutrition and Ingredient Labeling on Alcoholic Beverages Dear TTB Administrator, I am writing to express my strong support for the proposed rules requiring standardized nutrition and ingredient labeling on alcoholic beverages (Docket Nos. TTB–2025–0002 and TTB–2025–0003). This",14.0,8
23,"qr, think, manufacturer, code, batch, wait, have","We have enough regulations on the industry as it is. We do not need caloric or serving size or nutritional information on the labels. There is no benefit to adding this information to the labels, only to force producers to have their products tested by &quot;certified&quot; labs which will severely hamper the small producer with multiple products. This is a ridiculous proposal and government overr ||| As a small brewery owner this would be very expensive and overly burdensome as we make a lot of small batch pilot beers and offer them for sale direct to consumer. We do not have the ability to measure caloric content on finished product and would need to send samples out and wait for results back on beers that we release weekly from our smaller system. Our State requires COLA approval even if the ||| I work in the beer industry. I welcome this discussion. However, I don&rsquo;t think the change in label requirements will have the desired effects proponents want. I think there will be significant unintended consequences that do not benefit the consumer and burden the manufacturer. <br/><br/>1. Most products could go into containers (boxes, wraps, etc&hellip;) that the TTB is unauthorized to reg",23.0,7
19,"spirits, fevs, billion, spiritseurope, exports, wines, comments","spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associations of spirits producers and 11 leading international companies with a strong base in Europe. The United States is EU spirits&rsquo; first export market in value, with exports worth &euro;2.89 billion in 2024. We would like to thank the TTB for the opportunity provide comment ||| spiritsEUROPE rue Belliard, 12 – Bte 5 | 1040 Brussels, Belgium Tel: + 32 (2) 7792423 | info@spirits.eu | www.spirits.eu spiritsEUROPE Comments Notification G/TBT/N/USA/2182 Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Introduction spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associati ||| 10, Rue Pergolèse – 75116 PARIS – Tel +33 1 45 22 75 73 – contact@fevs.com August 11 th, 2025 Comments filed on behalf of FEVS (Fédération des Exportateurs de Vins et Spiritueux de France) Filed via www.regulations.gov Re: TTB‐2025‐0002: Alcohol Facts Statements in the labelling of wines, distilled spirits, and malt beverages The French Federation of Wine and Spirits Exporters (FEVS), appreciates ",19.0,7
25,"attached, comment, please, dear, my, informationbrbrplease, labelingbrbrsincerelybrmary","On behalf of Alcohol Justice Executive Director Cruz Avila, our comment is attached as a PDF. ||| Attached please find a comment from the Physicians Committee for Responsible Medicine. ||| Please see our comment letter attached.",25.0,6
24,"attached, see, pdf, please, comment, , ",See Attached ||| See Attached ||| See Attached,24.0,6
42,"breweries, are, lab, cost, be, require, able","Allergen information and nutritional labels should be provided on every package so that consumers are best able to make fully educated decisions about the products they are consuming. There should be no exceptions ||| Requiring small breweries to list nutritional facts on their labels would place an undue burden on them, as it would necessitate sending each unique product to a lab for analysis&mdash;an expensive and time-consuming process. Unlike large-scale producers, small breweries often release limited batches or seasonal brews, making repeated testing financially and logistically challenging. This added re ||| This is a non-issue pushed by nefarious actors who are actively pushing against the alcohol industry. This proposed rule would add increased cost to our labels, require the incurred cost of additional time to comply, and require us to change our labels at great cost to provide this information that NO consumers are asking for. People that consume alcohol are aware of the risks thanks to the existi",42.0,4
30,"year, taxed, spirits, distilleries, revenue, removals, tax","In 2024 total beverage alcohol volumes declined year over year for the first time in many years. This proposal will increase the decline further and put the alcohol industry into a deeper recession. Is now really the time to implement these changes that will be more difficult on the smaller producers? <br/><br/>Long term this proposal will result in lowered revenue across the board for all produce ||| small distilleries to purchase. We believe that only a relatively small portion of distilled spirits produced by small distillers under a 1 percentage point tolerance would have a low enough alcohol content to experience a significant variation in alcohol content. We also acknowledge that labeled vs. actual alcohol content carries different tax implications for distilled spirits than for malt beve ||| and increasingly diﬃcult marketplace in which to operate. The slowing post-pandemic marketplace has hampered U.S. spirits industry revenue, which decreased by $424M in 2024—a 1.1% year over year decline 7—and these trends have only continued in 2025. According to the National Beverage Alcohol Control Association (NABCA), in control states, spirits dollar sales are down 1.4% annually in the 12-mont",30.0,3
34,"pg, peg, transparency, and, food, or, in","Propylene glycol (PG) and polyethylene glycol (PEG) are chemical compounds used in various food and pharmaceutical products, including some alcoholic beverages, primarily as stabilizers, solvents, or carriers for flavorings. Disclosing these substances on alcoholic beverage labels is important for several reasons:<br/>⸻<br/>1. Consumer Health and Safety<br/>&bull; Allergic Reactions and Sensitivit ||| July 14, 2025 Mary G. Ryan Administrator Alcohol and Tobacco Tax and Trade Bureau (TTB) U.S. Department of Treasury Comment on Proposed Rules re Alcohol Facts Statements, Major Food Allergens in the Labeling of Wines, Distilled Spirits, and Malt Beverages (Dockets No. TTB-2025-0002; TTB-2025-0003) VIA ONLINE SUBMISSION Dear Administrator Ryan: Consumer Federation of America appreciates the opportu ||| that may cause adverse reactions.2 A product that was once safe to consume may change formulations without the consumer’s knowledge. This lack of labeling creates unnecessary risk for individuals with food sensitivities or health conditions. While this proposed rule does not address allergen disclosure, like that of Docket No. TTB-2025-0003,3 it lays the foundation for consumer transparency among ",34.0,2
33,"sessions, listening, notice, 232, ttb, 73, virtual","statements on a voluntary basis while the Bureau continued to consider the proposed rule. TTB withdrew the Serving Facts rulemaking from the Unified Agenda of Federal Regulatory and Deregulatory Actions in the fall of 2017. In the intervening years, the TTB has received letters from various groups to revisit the potential for changes to beverage alcohol labels. Additionally, in 2022 the Department ||| TTB renew their rulemaking on alcohol content, nutritional content, and appropriate serving sizes for alcohol beverage labels. This is Notice No. 237. The information that TTB is proposing is the alcohol facts which includes calorie and nutrient content to consumers. Goldstein (2024) reported consumers need or want to know about the additives and ingredients in alcoholic beverages to avoid for hea ||| recommended that the TTB renew their rulemaking on alcohol content, nutritional content, and appropriate serving sizes for alcohol beverage labels. This is Notice No. 237. The information that TTB is proposing is the alcohol facts which includes calorie and nutrient content to consumers. Goldstein (2024) reported consumers need or want to know about the additives and ingredients in alcoholic bever",33.0,2
31,"dollar, evidence, market, requirements, new, and, labeling","the industry to consider diverse representation in marketing, which research links to positive social impact and equity.<br/><br/>Supporting Evidence: Inclusive advertising is linked to greater market access and social change. (American Marketing Association, 2022, https://www.ama.org/marketing-news/inclusive-marketing-benefits/)<br/><br/>On Burden Minimization and Support for Small Producers<br/> ||| The proposed changes to alcohol labeling regulations, while well-intentioned in increasing transparency, present several challenges that may inadvertently harm the industry and not deliver the intended benefits to consumers.<br/><br/>1. Increased Costs: The new labeling requirements impose significant financial burdens on producers, especially smaller craft brands. These costs stem from redesignin ||| How, if at all, would the new mandatory labeling requirements affect competition in the alcohol beverage market? Every additional regulatory requirement disproportionately burdens small businesses. This common-sense principle is behind countless federal laws and regulations, including of course the Regulatory Flexibility Act. For us, a dollar spent on graphic design fees or label printing means a ",31.0,2
18,"the, that, to, products, or, spirits, of","information, such as serving size, number of calories and grams of carbs, protein, and fat per serving size, through either of the currently TTB-approved formats (Serving Facts panel or statement of average analysis) on new labels by June 2024.18 This information is now available for all spirits products distributed in the United States by DISCUS Director Members, either displayed directly on the  ||| Sugar Content Statements Should Remain Optional In its NPRM, TTB proposed to allow optional sugar content statements as part of the Alcohol or Serving Facts statement. DISCUS supports the optional inclusion of sugar content statements, consistent with the current approach, and agree with its inclusion in the Alcohol or Serving Facts statement if provided. D. Inclusion of Micronutrients Should Rema ||| the stringently regulated di stillation process, Scotch Whisky spirits do not contain carbohydrates, fat, or protein. Requiring extensive nutritional information on labels, especially when most of the nutritional facts are not applicable to distilled spirits, risks confusing consumers into the belief that they have a ""nutritional benefit” and that some alcoholic beverages are more nutritious than ",18.0,2
17,"mezcal, tequila, de, the, of, on, la","From: Cámara Nacional de la Industria Tequilera To: Alcohol and Tobacco Tax and Trade Bureau (TTB) Subject: Comments on: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Docket No. TTB-2025-0002; Notice No. 237 Notification : G/TBT/N/USA/2182 Agency responsible: Alcohol and Tobacco Tax and Trade Bureau (TTB), Department of the Treasury USA WTO TBT Inquiry Po ||| August, 14, 2025. Agency responsible: Alcohol and Tobacco Tax and Trade Bureau (TTB), Department of the Treasury USA WTO TBT Inquiry Point, Email: usatbtep@nist.gov Subject: Comments on: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages To whom it may concern, I write to you today on behalf of the Mezcal Sustainability Alliance , a strategic collaboration amo ||| August, 14, 2025. Agency responsible: Alcohol and Tobacco Tax and Trade Bureau (TTB), Department of the Treasury USA WTO TBT Inquiry Point, Email: usatbtep@nist.gov Subject: Comments on: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages To whom it may concern, I write to you today on behalf of the Mezcal Sustainability Alliance , a strategic collaboration amo",17.0,2
7,"tolerance, content, alcohol, malt, percentage, brewers, for",to the IRC? Should TTB increase the labeling tolerance to one percentage point above or below the statement amount for all malt beverage and beers? This would alleviate the need for expensive specialized equipment needed to test for alcohol content to a sufficient degree of certainty to meet the current tolerance standards. Would consumers receive adequate information about the alcohol content of  ||| the marketplace if such disclosure is required. TTB also seeks comment on whether consumers would receive adequate information about the alcohol content of malt beverages if the tolerance were increased. BI Response: Applying a basic alcohol disclosure standard – like the mandatory and voluntary standards already in place and adding alcohol by volume to all “IRC Alcohol beverages” is appropriate a ||| the marketplace if such disclosure is required. TTB also seeks comment on whether consumers would receive adequate information about the alcohol content of malt beverages if the tolerance were increased. BI Response : Applying a basic alcohol disclosure standard – like the mandatory and voluntary standards already in place and adding alcohol by volume to all “IRC Alcohol beverages” is appropriate ,7.0,2
16,"content, alcohol, the, statement, of, fevs, abv","proposed by TTB as well as the use of “typical value” charts in order to ease the ability of wine and spirits operators, especially SMEs, fulfilling the envisaged requirements. FEVS strongly encourages TTB to work as far as possible with US trade partners to develop a coordinated approach on these “typical values”. FEVS would like also to stress the importance of including in the TTB regulation th ||| small batches and cannot spread testing costs over many units.* Mandatory Listing of Alcohol by Volume on All Alcohol Beverage Products *We have no objections to the proposal requiring an alcohol content statement expressed as a percentage of alcohol by volume on all alcohol beverage labels. This requirement does not pose any issues, as it is already mandatory in Argentina to indicate the alcohol  ||| small batches and cannot spread testing costs over many units. Mandatory Listing of Alcohol by Volume on All Alcohol Beverage Products We have no objections to the proposal requiring an alcohol content statement expressed as a percentage of alcohol by volume on all alcohol beverage labels. This requirement does not pose any issues, as it is already mandatory in Argentina to indicate the alcohol co",16.0,2
26,"gs1, barcodes, standards, 2d, data, identification, can","can be applied to support industry compliance with Alcohol Facts requirements: 1. Identification: GS1 Standards enable the unique identification of products, logistics units, parties, locations, assets, documents, and relationships across the supply chain—from the www.gs1us.org 3 manufacturer to the consumer. These identifiers provide a standardized method to recognize and track items, ensuring co ||| development of new global standards when necessary. Beyond operational efficiencies for trading partners, GS1 Standards help empower consumers to make informed choices and trust their purchases by facilitating access to the information they want and need about those products. 2D Barcodes: Enhancing Transparency in Alcohol Labeling GS1 US recognizes the importance of enhancing transparency and prov ||| declarations, information regarding sustainability practices, or responsible consumption messaging. A GS1 Digital Link enabled QR code can provide consumers with access to detailed product and nutritional information, including allergens and dynamic data such as recalls or safety alerts, through a simple smartphone scan. In addition to enhancing consumer access to product and nutritional informati",26.0,1
29,"ciders, hard, cider, nutritional, fermentation, and, categorization","RE: Docket No. TTB 2025-0002; Notice 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages<br/><br/>The American Cider Association (ACA) appreciates the opportunity to submit comments on the proposed rulemaking regarding mandatory nutritional, allergen, and ingredient labeling for alcohol beverages. Our association represents more than 1,200 cider and perry  ||| 1 Comments on Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Docket No. TTB-2025-0002, Notice No. 237, RIN 1513-AC93 I appreciate the opportunity to offer my individual comments on the proposed rule regarding Alcohol Facts statements in the labeling of wines, distilled spirits, and malt beverages. The intent and purpose of this rule are commendable, as it  ||| hard ciders due to their unique characteristics, rather than jamming them into a non-germane category. Hard ciders differ from other alcoholic beverages in alcohol content, packaging sizes, fermentation processes, and nutritional profiles. Alcohol Content: Hard ciders vary significantly in alcohol content, from low-alcohol variants to levels comparable to wine or beer. Clear guidelines based on al",29.0,1
22,"smartlabel, product, information, pages, brands, page, the","of consumers believe that integrating product information with SmartLabel will improve their impression of the brand. Consequently, SmartLabel food labeling provides the product information consumers seek to make informed decisions about the CPG products they purchase. SmartLabel Standardizes the Product Data Display SmartLabel complies with GS1 data standards (sourced via the Global Data Synchron ||| Research Validates SmartLabel as a Digital Transparency Tool Through consumer research , SmartLabel has confirmed that consumers expect the labeling information in SmartLabel to be consistent with the information on the label. As noted, the program SmartLabel® Comments to Docket No. TTB-2025-0002; Notice No. 237 July 9, 2025 Page 8 of 10 conducts annual reviews of SmartLabel pages to ensure the da ||| brand owners and grocery retailers to give consumers access to more detailed product information than could ever fit on a package. SmartLabel serves as the defacto standard for consumer transparency and allows brands to display state and federally mandated and voluntary label information . Currently 80 parent companies participate in the SmartLabel program, representing more than 1,000 brands and ",22.0,1
9,"bidenproposed, rule, the, allergen, department, treasury, and","imposes massive costs on the lives of millions of Americans, creates a substantial restraint on our economic growth and ability to build and innovate, and hampers our global competitiveness.” He also said: “It is the policy of my Administration to significantly reduce the private 8 90 Fed. Reg. at 5775, col. 3 (in reference to the Biden-proposed Allergen Labeling rule: “TTB considered other option ||| costs on into the future, to carry out the Biden-proposed Alcohol Facts Rule. With the average small business owner making about $69,000 per year,®° it is plain that a new $5,298 per year government-imposed charge on small businesses with the proposed rule is significant. Particularly galling is the statement TTB made in attempting (but failing) to justify its decision to certify that the proposed ||| America, Breast Cancer Prevention Partners, National Consumers League, and U.S. Aicohol Policy Alliance. Advocacy to the federal and state governments on regulatory subjects is a perfectly permissible activity protected by the First Amendment right to petition for redress of grievances, and corresponding state constitutional provisions, but no federal agency should view such advocacy as a complete",9.0,1
32,"drink, standard, guidelines, drinking, consumers, of, alcohol","moderate drinking advice, such as the statement: “The Dietary Guidelines for Americans recommend that adults who choose to drink should limit intake to two standard drinks or less in a day for men and one standard drink or less in a day for women (on days when alcohol is consumed)” 26 in bold, as illustrated in Figure 1 (above). Consumers can only follow moderate drinking advice to the extent they ||| Dietary Guidelines for Americans, 2020–2025, use the terms ‘‘drink,’’ and ‘‘alcoholic drink equivalent,’’ and seeks comments on whether any of those terms should be used or defined for use on labels. “Alcoholic drink equivalent” is unnecessarily garbled. While many consumers understand what a “drink” is, few have ever encountered the phrase “alcoholic drink equivalent.” If the goal is providing co ||| the proposed Alcohol Facts statement improve the ability of consumers to follow the consumption and moderation advice provided by governmental and health agencies, if they so choose? Is there a better way of presenting the volume of alcohol content per serving? Specifically, should the term “standard drink” be defined and used in place of or in addition to fluid ounces of pure ethyl alcohol per se",32.0,1
20,"information, disclosures, electronic, bi, label, via, ttb","making the information available electronically, for example by including a QR code or website address on the label to allow consumers to view mandatory Alcohol Facts statements on their mobile devices instead of on the product label? Would this option provide consumers with sufficient access to Alcohol Facts information at the retail store so that they can make informed decisions, given issues su ||| aligning Alcohol Facts information to requirements of other countries? BI Response: BI sees no benefits to aligning nutrition and alcohol content disclosures in the United States with requirements from other countries with different laws and regulatory structures. The costs of compliance and regulatory burden would increase, and consumers in the U.S. may be more confused than informed by labeling  ||| BI sees no benefits to aligning nutrition and alcohol content disclosures in the United States with requirements from other countries with different laws and regulatory structures. The costs of compliance and regulatory burden would increase, and consumers in the U.S. may be more confused than informed by labeling requirements imported from other markets. 53. If TTB adopts mandatory Alcohol Facts ",20.0,1
39,"regulations, administration, br, dated, voluntary, rulemaking, by","Barack Obama, Donald Trump, and Joseph Biden Administrations. Typically, the regulatory climate of Washington, DC changes with each new Administration. The current Administration has issued several executive orders on the promulgation of new regulations and review of existing regulations to ensure &ldquo;regulations [are] squarely authorized by constitutional Federal statutes, and to commence the  ||| proposed Alcohol Facts Statement labeling regulations require the same elements of information as the voluntary Serving Facts label: • Serving Size • Servings per Container • Alcohol by volume 3 Executive Order, dated February 19, 2025, titled “Ensuring Lawful Governance and Implementing the President’s ‘Department of Government Efficiency’ Deregulatory” Initiative.” https://www.whitehouse.gov/pre ||| NOTE: Regulations.gov would not let me upload this comment letter. Because it exceeds the 5000-character limit, I am pasting part of it here and I have emailed Mr. Eilers and Ms. Greenberg the full letters. Hopefully, Mr. Eilter will be able to put them in the Public Comment folder. Thank you. <br/>National Press Building <br/>Suite 1300-NPC <br/>Washington, DC 20045 <br/>August 15, 2025 <br/> <br",39.0,1
