topic_num,size,top_words,sample_comments,docket_id
9,15,"number, serving, breweries, per, brewers, lactose, rule","I believe that the proposed rule will be of much benefit to the American consumer, primarily to the reinforcement of informed consent in the purchasing of products. The fact it has taken so long to require allergen labels onto alcoholic beverages is quite alarming, especially while the market for alcoholic beverages and breweries has exploded. According to the Brewers Association, the number of ||| I believe that the proposed rule will be of much benefit to the American consumer, primarily to the reinforcement of informed consent in the purchasing of products. The fact it has taken so long to require allergen labels onto alcoholic beverages is quite alarming, especially while the market for alcoholic beverages and breweries has exploded. According to the Brewers Association, the number of ||| I believe that the proposed rule will be of much benefit to the American consumer, primarily to the reinforcement of informed consent in the purchasing of products. The fact it has taken so long to require allergen labels onto alcoholic beverages is quite alarming, especially while the market for alcoholic beverages and breweries has exploded. According to the Brewers Association, the number of",TTB-2025-0003
10,14,"wine, businesses, georgiarsquos, inventories, small, existing, impact","danger and harm sales, small businesses and rural communities. Many of our wineries in the not only the state but the region are small family owned farm businesses. Businesses that are already running on very tight budgets. These businesses bring in vital revenue, jobs, and tourism to often very economically stressed rural communities. Many other small businesses in those communities are depe ||| requirement may impose on Georgia's wine industry, particularly for small and family-owned wineries. Economic Impact on Georgia's Wine Industry Georgia's wine industry significantly contributes to the state's economy, supporting local agriculture, creating jobs, and attracting tourism. The proposed labeling changes would necessitate comprehensive label red ||| requirement may impose on Georgia's wine industry, particularly for small and family-owned wineries. Economic Impact on Georgia's Wine Industry Georgia's wine industry significantly contributes to the state's economy, supporting local agriculture, creating jobs, and attracting tourism. The proposed labeling changes would necessitate comprehensive label red",TTB-2025-0003
11,13,"advocacy, 32, voice, unaware, choice, cdc, control","Centers for Disease Control and Prevention (CDC), approximately 32 million Americans suffer from food allergies. Currently, many consumers remain unaware that alcohol beverages often lack proper ingredient labeling, including allergen labeling requirements established by the Food Allergen Labeling and Consumer Protection Act (FALCPA). By requiring comprehensive ingredient disclosure, TTB would emp ||| Centers for Disease Control and Prevention (CDC), approximately 32 million Americans suffer from food allergies. Currently, many consumers remain unaware that alcohol beverages often lack proper ingredient labeling, including allergen labeling requirements established by the Food Allergen Labeling and Consumer Protection Act (FALCPA). By requiring comprehensive ingredient disclosure, TTB would emp ||| Centers for Disease Control and Prevention (CDC), approximately 32 million Americans suffer from food allergies. Currently, many consumers remain unaware that alcohol beverages often lack proper ingredient labeling, including allergen labeling requirements established by the Food Allergen Labeling and Consumer Protection Act (FALCPA). By requiring comprehensive ingredient disclosure, TTB would emp",TTB-2025-0003
12,13,"transparency, allergen, food, labeling, consumers, allergens, rule","Major food allergen labeling for adult beverages is essential because transparency in food labeling is a public health safety issue that effects 3-5% of the population around the world. If beverage companies were open to transparency, it may even increase revenue and sales when consumers aren't afraid to get sick from their products. Likewise, encouraging transparency in labeling will create t ||| if they can safely consume alcoholic beverages because neither ingredient, nor major allergen labeling is required. Nearly all foods and beverages we consume are required to have basic labeling of ingredients and allergens. Alcohol should not be exempt. The proposed rule, which requires disclosure of the top 9 most common food allergens without exempting processing agents, would greatly ||| if they can safely consume alcoholic beverages because neither ingredient, nor major allergen labeling is required. Nearly all foods and beverages we consume are required to have basic labeling of ingredients and allergens. Alcohol should not be exempt. The proposed rule, which requires disclosure of the top 9 most common food allergens without exempting processing agents, would greatly",TTB-2025-0003
13,12,"tbt, mexican, agreement, committee, request, article, gtbtnusa2183","On behalf of the Government of Mexico, I hereby attach the comments of the Mexican alcoholic beverages industry regarding the U.S. TTB's draft regulation ""Notice No. 238: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages,"" with the attentive request that they are taken into account in the elaboration of the final standard. The Mexican industry appreciate ||| On behalf of the Government of Mexico, I hereby attach the comments of the Mexican alcoholic beverages industry regarding the U.S. TTB's draft regulation ""Notice No. 238: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages,"" with the attentive request that they are taken into account in the elaboration of the final standard. The Mexican industry appreciate ||| On behalf of the Government of Mexico, I hereby attach the comments of the Mexican alcoholic beverages industry regarding the U.S. TTB's draft regulation ""Notice No. 238: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages,"" with the attentive request that they are taken into account in the elaboration of the final standard. The Mexican industry appreciate",TTB-2025-0003
14,12,"see, attached, document, full, comment, please, for",See attached ||| See Attached ||| See Attached,TTB-2025-0003
15,12,"onlabel, public, tobrbullspan, volume, codes, abv, spanrequire","further confusing consumers and limiting usefulness. 4. Consumer Expectation of On-Label Information: Unlike most other packaged food and beverages, alcohol products are still not required to provide basic nutritional or ingredient data directly on the label. Continuing this practice via QR codes perpetuates a harmful double standard. Recommendat ||| further confusing consumers and limiting usefulness. 4. Consumer Expectation of On-Label Information: Unlike most other packaged food and beverages, alcohol products are still not required to provide basic nutritional or ingredient data directly on the label. Continuing this practice via QR codes perpetuates a harmful double standard. Recommendat ||| further confusing consumers and limiting usefulness. 4. Consumer Expectation of On-Label Information: Unlike most other packaged food and beverages, alcohol products are still not required to provide basic nutritional or ingredient data directly on the label. Continuing this practice via QR codes perpetuates a harmful double standard. Recommendat",TTB-2025-0003
16,12,"ldquoused, cider, regulations, inrdquo, nabi, major, provide","of the proposed regulations: should the threshold for label disclosure be whether the major food allergen was ""used in"" in the production of the wine, spirits, or beer or whether the major food allergen is present in the final product. The proposed regulations adopt the ""used in"" standard whereas NABI argues that the ""presence"" standard would provide the consume ||| the opportunity to provide comments on the notice of proposed rulemaking (NPRM) on Major Food Allergen Labeling. For the reasons stated below, NABI believes that the Major Food Allergen should remain voluntary. First, the regulatory environment today poses a higher bar for agencies in issuing regulations because of various executive orders. Second, there remains a core question on the structure of ||| the opportunity to provide comments on the notice of proposed rulemaking (NPRM) on Major Food Allergen Labeling. For the reasons stated below, NABI believes that the Major Food Allergen should remain voluntary. First, the regulatory environment today poses a higher bar for agencies in issuing regulations because of various executive orders. Second, there remains a core question on the structure of",TTB-2025-0003
18,11,"beverages, alcoholic, be, labeling, fdaregulated, fda, displayed","they need to be more accessible to consumers, as print can be small and difficult to read. Some commenters expressed a preference that mandatory allergen labeling for alcoholic beverages be consistent with FDA requirements. This is prevalent as the Asthma and Allergy Foundation of America stated that ""to the extent possible, labeling information should be displayed on alcoholic beverages sim ||| labeling information should be displayed on alcoholic beverages similar to labeling on FDA-regulated foods. Consumers with food allergies are accustomed to FDA labeling, and would be able to easily transition to a similar model for checking the safety of alcoholic beverages . . ."". Our support is further guided by input from professional organizations providing medical guidance related t ||| As a consumer in America with many friends with food allergies, I think that labeling information should be displayed on alcoholic beverages similar to labeling on FDA-regulated foods. Although alcoholic beverages may not generally be an essential product and can/have bypassed the regulations inflicted on common products. Consumers with food allergies are accustomed to FDA labeling, and would be a",TTB-2025-0003
17,11,"dear, major, food, tax, tobacco, alcoholic, beverages","Dear Alcohol and Tobacco Tax and Trade Bureau, As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. Roughly 11% of U.S. adults have food ||| Dear Alcohol and Tobacco Tax and Trade Bureau, As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. Roughly 11% of U.S. adults have food ||| Dear Alcohol and Tobacco Tax and Trade Bureau, As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. Roughly 11% of U.S. adults have food",TTB-2025-0003
20,10,"considered, impacts, continue, undue, consideration, appreciates, trade","information into the ingredient list as the primary method, consistent with existing voluntary declarations (T.D. TTB-53) and in line with the CODEX Alimentarius recommendations. We also suggest that the use of electronic labeling tools, such as QR codes or digital platforms, be considered to provide additional information in a clear, accessible, and consumer-friendly manner. Finally, we ||| information into the ingredient list as the primary method, consistent with existing voluntary declarations (T.D. TTB-53) and in line with the CODEX Alimentarius recommendations. We also suggest that the use of electronic labeling tools, such as QR codes or digital platforms, be considered to provide additional information in a clear, accessible, and consumer-friendly manner. Finally, we ||| information into the ingredient list as the primary method, consistent with existing voluntary declarations (T.D. TTB-53) and in line with the CODEX Alimentarius recommendations. We also suggest that the use of electronic labeling tools, such as QR codes or digital platforms, be considered to provide additional information in a clear, accessible, and consumer-friendly manner. Finally, we",TTB-2025-0003
21,10,"modern, consumer, dissatisfaction, emphasizing, advocates, called, public","unforeseen reactions, including triggering allergic responses. Secondly, transparency in labeling aligns with modern consumer expectations and public health advocacy. In 2021, various consumer groups and public health advocates called for mandatory labeling, emphasizing that consumers should have full access to information about the content of the products they consume. The public has ex ||| unforeseen reactions, including triggering allergic responses. Secondly, transparency in labeling aligns with modern consumer expectations and public health advocacy. In 2021, various consumer groups and public health advocates called for mandatory labeling, emphasizing that consumers should have full access to information about the content of the products they consume. The public has ex ||| unforeseen reactions, including triggering allergic responses. Secondly, transparency in labeling aligns with modern consumer expectations and public health advocacy. In 2021, various consumer groups and public health advocates called for mandatory labeling, emphasizing that consumers should have full access to information about the content of the products they consume. The public has ex",TTB-2025-0003
22,10,"alternative, approaches, without, person, drinks, exploring, operationsbrbralternative","local wineries. A blanket statement regarding the number of alcoholic drinks recommended per person is flawed as everybody is different. Even in our required TIPS alcohol license certification, it does not recommend basing the intoxicated level of a person merely upon number of drinks consumed. Conclusion I urge you to consider the potential economic and operational imp ||| their operations. Alternative Approaches for Consumer Education While understanding the health implications of alcohol consumption is essential, there are alternative methods to educate consumers without imposing stringent labeling requirements. Public health campaigns and digital platforms can effectively disseminate information about responsible drinking and health risks associ ||| their operations. Alternative Approaches for Consumer Education While understanding the health implications of alcohol consumption is essential, there are alternative methods to educate consumers without imposing stringent labeling requirements. Public health campaigns and digital platforms can effectively disseminate information about responsible drinking and health risks associ",TTB-2025-0003
23,10,"formatting, finfish, 35, appear, rule, should, eg","labeling of fin fish. TTB should make clear in the final rule that this information should never be provided solely via QR code, as this would specifically disadvantage populations that are less able to utilize smart phones or similar technology Consumers need this information as soon as possible! In the final rule, TTB should shorten the compliance period from 5 years to 3.5 years to pr ||| and protect consumers with food allergies. The final rule could be improved by specifying where the allergen disclosure should appear, outlining specific formatting requirements, and requiring a species-specific disclosure for the labeling of finfish (e.g., tilapia, salmon, etc.). Consumers with allergies need allergen information to appear on-package. It should never be provided solely ||| and protect consumers with food allergies. The final rule could be improved by specifying where the allergen disclosure should appear, outlining specific formatting requirements, and requiring a species-specific disclosure for the labeling of finfish (e.g., tilapia, salmon, etc.). Consumers with allergies need allergen information to appear on-package. It should never be provided solely",TTB-2025-0003
19,10,"postdistillation, beverage, milk, processed, adaptation, longer, allergens","nationwide, from small orchard-based family operations to regional brands distributing across multiple states. While our members vary in scale and business model, they share a commitment to transparency, quality, and agricultural tradition. We support the TTB's goal of ensuring consumers have accurate and consistent access to information about the presence of major food allergens in ||| and the consequences of accidental exposure can be severe or even life-threatening. Despite this, many alcoholic beverages—ranging from beer made with wheat, to liqueurs containing milk or nuts, to wines processed with fish or egg products—are not currently required to disclose ingredients or allergens. This creates an unacceptable risk for consumers with food allergies and is an outli ||| milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. Consumers with food allergies have no way of knowing if they can safely consume alcoholic beverages because neither ingredient lists, nor major allergen labeling is required. Nearly all foods and beverages we consume are required to have basic labeling of ingredients and allergens. Alcohol shouldn't be exe",TTB-2025-0003
26,9,"cost, retailers, will, federation, suppliers, this, effects","I would recommend considering how this affects small producers who might not have the scale to produce these labels for their products. While the purpose of this regulation would be beneficial to the public, I suggest that other methods of warning labels also be introduced and accepted, like the use of QR codes and warning notices at official places of sale instead of on each bottle or can. ||| I have a few recommendations that could potentially improve the rule. First, I do not believe that using an alternative method such as a website or QR code would be adequate to provide the same information to the consumer. These methods would likely cost the industry the same amount as a website as it would still require an adjustment to the label of the product. Additionally, it may be ||| What will you do about 50ml? The print will be too small for it to be read. If it is a requirement on all sizes This will harm trial of products (causing issues for both consumers, retailers and suppliers) and will also reduce profits for retailers and suppliers on many levels.",TTB-2025-0003
29,9,"wines, proposal, think, allergens, malt, this, in","Why I'm interested in this proposal. I started my winery in Massachusetts in 2020 and have been growing and producing quality aged wines for 5 years. I generally support the proposed regulation for listing major allergens on wine labels. However, there seems to be a major piece missing. I would like to bring to your attention the consequence of the proposed mandate implementation period of ||| I support the proposal to require disclosure of major food allergens on wines, distilled spirits, and malt beverage labels. Consumers deserve clear and consistent information about ingredients that may pose health risks to potential buyers. This rule aligns alcohol labeling with existing food allergen standards and promotes transparency and safety for individuals with allergies. The proposed compl ||| I think it is due time that beverage companies be held to the same transparency that all food & other adhere too. This is apparent for many reasons including toxic materials, dietary decisions, and allergens. I think a few consumers who follow vegan lifestyles may find it upsetting to have their wines and beverages filtered by fish or egg by products. My wife has many allergies including peas",TTB-2025-0003
28,9,"scotch, spirits, adsa, whisky, distilled, states, united","The Scotch Whisky Association (SWA) is grateful for the opportunity to provide comments to The Alcohol and Tobacco Tax and Trade Bureau (TTB) regarding Docket No. TTB-2025-0002; Notice No. 238 on Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages. The SWA is the Scotch Whisky industry's trade association. We have over 90 member companies, from multinational spirits ||| I write as President and CEO of the American Distilled Spirits Alliance (""ADSA"") to provide the collective comments of ADSA members on TTB's Notice No. 238, Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages. ADSA is a trade association of twenty member companies with shared interests in the manufacturing, importation, and marketing of distilled spirits ||| I write as President and CEO of the American Distilled Spirits Alliance (""ADSA"") to provide the collective comments of ADSA members on TTB's Notice No. 238, Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages. ADSA is a trade association of twenty member companies with shared interests in the manufacturing, importation, and marketing of distilled spirits",TTB-2025-0003
25,9,"qr, access, informationbr2span, spanreduced, visible, immediately, codes","of conveying essential product information—such as ingredients, nutritional content, and allergens—is inadequate from a public health standpoint. Key Public Health Concerns with the QR Code Approach: 1. Limited Access and Equity: Not all consumers have smartphones, reliable internet access, or the technological literacy to use QR code ||| of conveying essential product information—such as ingredients, nutritional content, and allergens—is inadequate from a public health standpoint. Key Public Health Concerns with the QR Code Approach: 1. Limited Access and Equity: Not all consumers have smartphones, reliable internet access, or the technological literacy to use QR code ||| of conveying essential product information—such as ingredients, nutritional content, and allergens—is inadequate from a public health standpoint. Key Public Health Concerns with the QR Code Approach: 1. Limited Access and Equity: Not all consumers have smartphones, reliable internet access, or the technological literacy to use QR code",TTB-2025-0003
24,9,"files, see, attached,, ,",See attached file(s) ||| See attached file(s) ||| See attached file(s),TTB-2025-0003
27,9,"makers, there, ethical, dangers, many, come, point","allergies. It's good to revisit whether to make allergen labeling mandatory. As a starting point, there has ​also been a proliferation of creators of alcoholic beverages. There are now thousands of ​makers of vodka​ and other speciality alcoholic beverages. ​Many are local makers and they are regulated locally​ for production. However, I think that nationwide labeling is needed. As a starting point, there has ​also been a proliferation of creators of alcoholic beverages. There are now thousands of ​makers of vodka​ and other speciality alcoholic beverages. ​Many are local makers and they are regulated locally​ for production. However, I think that nationwide labeling is needed. As a starting point, there has ​also been a proliferation of creators of alcoholic beverages. There are now thousands of ​makers of vodka​ and other speciality alcoholic beverages. ​Many are local makers and they are regulated locally​ for production. However, I think that nationwide labeling is needed.< /",TTB-2025-0003
30,8,"more, others, some, attribute, identification, but, environment",Some attribute this to better testing and therefore identification. But others believe we have more allergies because of the environment around us. I also think that more and more Americans are finding that they react to allergens in different ways than before. ​Some​ ​just get a minor reaction but more are reacting more severely while others are getting more chronic allergies. It's good to ||| Some attribute this to better testing and therefore identification. But others believe we have more allergies because of the environment around us. I also think that more and more Americans are finding that they react to allergens in different ways than before. ​Some​ ​just get a minor reaction but more are reacting more severely while others are getting more chronic allergies. It's good to ||| Some attribute this to better testing and therefore identification. But others believe we have more allergies because of the environment around us. I also think that more and more Americans are finding that they react to allergens in different ways than before. ​Some​ ​just get a minor reaction but more are reacting more severely while others are getting more chronic allergies. It's good to,TTB-2025-0003
31,8,"bill, around, cross, spending, contamination, please, worried","This should 100% be enacted. I have multiple family members with major allergies that this will benefit greatly. Most producers do not label when allergens are used in the production process which has led to multiple allergy attacks that could have been prevented. This will benefit all. ||| reduce ample amounts of spending and time around medical issues. As someone worried about cross contamination and the well being of close people with allergies, this small step can bring waves of good. ||| Please sign this bill into law. With a strong reasoning for government action, the legal publishing and transparency around food labeling is critical to the health and safety of the general public. The importance of setting a legal standard across all consumed goods reflects the nature that one's health takes priority over companies' advertising budgets and aesthetics. This bill could redu",TTB-2025-0003
32,8,"bourbon, wheat, distillery, wheatquot, will, distillation, kentucky","to labeling on FDA-regulated foods."" We can relate to this issue on a personal level, as many of our peers have faced adverse effects from unlabeled alcoholic beverages, even if there was simply cross-contamination involved. We believe 5 years is more than enough time to comply with this regulation. Some companies have argued against this, stating that this may be misleading as they use alle ||| This proposal will be onerous to most spirit distillers, such as bourbon, who are not allowed to use any additives. Will this only be required IF a product contains a food additive after distillation? The FDA has clarified for example, that NO distilled spirit contains gluten even if the base ingredients include wheat. Will a bourbon that contains wheat need to be labeled ""Contains wheat"" ||| to be labeled ""Contains wheat""? It does not contain wheat. This rule may apply to a distillery making a cream-based beverage such as bourbon cream or Irish cream (which contain milk/cream). Will we be required to place standard boilerplate language such as ""Bottled in a distillery that handles wheat,"" or ""May contain XXX"" like on some food products? Will we be allowed",TTB-2025-0003
33,8,"protein, advisory, sufficient, necessary, ttb, rule, may","tribal areas. I agree that any use of a major food allergen or its protein derivative in production would require disclosure, regardless of any threshold level. This proposed rule matters for public health because improved transparency regarding food and drink consumption is of utmost importance, enabling people to make informed decisions of what they ingest. Though there are costs associ ||| a necessary step toward protecting individuals with food allergies. Labeling allergens such as milk, eggs, fish, shellfish, tree nuts, wheat, peanuts, soybeans, and sesame—as well as any ingredient containing protein derived from these foods—is critical for safeguarding health and ensuring equity for consumers with dietary restrictions or medical vulnerabilities. The proposed ||| allergen advisory labeling, such as statements that a product may contain a major food allergen, e.g., 'May Contain (major food allergen).'"" TTB is concerned that allergen advisory labeling could be misused, yet this omission creates a loophole that could leave sensitive consumers vulnerable, especially in the absence of mandatory ingredient disclosure. In addition, by allowing i",TTB-2025-0003
34,8,"alliance, allergy, yet, hear, major,prevention","My name is Heidi Baxley, I am a licensed Substance Use Prevention Specialist and Chair of the Utah Prevention Coalition Association. Roughly 11% of U.S. adults have food allergies. Many alcoholic beverages contain major allergens, such as wheat in many beers, milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. But consumers with food allergies have no way of knowing ||| In our work, we often hear from Alaskans who are trying to make safer and healthier choices for themselves and their families—including individuals with food allergies and parents of children with severe reactions. Yet today, they are left guessing whether an alcoholic beverage contains a potentially dangerous allergen. This is unacceptable. Alcoholic beverages are one of the only consum ||| In our work, we often hear from Alaskans who are trying to make safer and healthier choices for themselves and their families—including individuals with food allergies and parents of children with severe reactions. Yet today, they are left guessing whether an alcoholic beverage contains a potentially dangerous allergen. This is unacceptable. Alcoholic beverages are one of the only consum",TTB-2025-0003
41,7,"39contains', fi, glycol, accepting, clarifying, urge, assessed","clear labeling can help protect public health and build consumer confidence. However, we respectfully urge the Bureau to consider the operational realities of small, agricultural-based producers and to structure the rule in a way that delivers transparency without creating unintended burdens or confusion. Distinguishing Ingredients from Processing Aids We urge TTB to clearly different ||| This new regulation is important to protecting the health and safety of citizens with quality of life reducing, or potentially life-threatening allergies to undisclosed chemical additives such as propylene glycol and polyethylene glycol. There is no reason it should take any corporation five years to comply with the new changes. I suggest a revised one-year compliance date from the publishing of a ||| A compliance date of 5 years from when a final rule is published in the Federal Register is proposed. Since it is necessary to ensure that companies have enough time to prepare for changes, we suggest that the proposed 5-year period not be shortened. We, however, invite you to consider allowing declaration within voluntary ingredient listing as an alternative to a separate 'contains' s",TTB-2025-0003
